Word,Meaning,Exam_Style_Example,Vocaloid_Style_Phrase
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_,感じる,I feel nervous before exams.,I feel your shadow even now.
give_,与える,He gave me a present.,I can't give you back what I stole.
easy_,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_,希望する,I hope everything goes well.,My hope dances on broken melodies.
